id,track,artist,artist,month,year,posThen,posHighest,duration,tempo,timeSignature,mode,key,loudness,danceability,energy
0FUFo0KJyR9tGXT7vQI9mi,ANOTHER DAY,KINGS OF TOMORROW,KINGS OF TOMORROW,7,2009,38,30,232533,123.837,4,1,8,-7.574,0.74,0.776
4uUz3SYA7xNKcuOvv7PCFO,I REMEMBER,DEADMAU5,DEADMAU5,8,2009,1,1,480067,129.993,4,0,11,-6.773,0.768,0.61
77FULy278MulVvGWS8BfK7,WHEN LOVE TAKES OVER,DAVID GUETTA,DAVID GUETTA,8,2009,2,1,191000,129.984,4,1,11,-4.649,0.665,0.875
7ldmPWVb7hQ8MXdMc2z1uL,RAINDROPS,BASEMENT JAXX,BASEMENT JAXX,8,2009,3,3,248074,125.921,4,1,8,-5.309,0.583,0.921
0c7Ku2JaVMyejkYLjwxucj,WARRIOR'S DANCE,PRODIGY,PRODIGY,8,2009,4,1,312960,137.015,4,0,5,-5.035,0.579,0.989
2iMtf3iN1CVgoNaWOEZ0ib,HEARTBREAK,FREEMASONS,FREEMASONS,8,2009,8,2,560960,124.999,4,1,2,-7.548,0.66,0.655
5FEXPoPnzueFJQCPRIrC3c,DAY 'N' NITE,KID CUDI,KID CUDI,8,2009,12,1,221267,138.035,4,0,11,-6.362,0.878,0.446
55eFVWZ4lLq8kbJ0VwSfA4,SHOW ME LOVE,STEVE ANGELLO,STEVE ANGELLO,8,2009,13,1,187640,129.951,4,1,5,-4.654,0.635,0.882
02sVkQwO5pxoOu8QpyUFQq,SHOES,TIGA,TIGA,8,2009,14,3,227747,123.004,4,1,1,-5.141,0.837,0.868
3aub1GpyKYRd1cVN54bnw6,WINDOWLICKER,APHEX TWIN,APHEX TWIN,8,2009,28,3,365640,123.041,4,1,8,-5.097,0.693,0.775
5uozEFB0xzT0QsgrA9DLGr,READY FOR THE WEEKEND,CALVIN HARRIS,CALVIN HARRIS,9,2009,1,1,217987,137.959,4,0,9,-4.813,0.818,0.711
77FULy278MulVvGWS8BfK7,WHEN LOVE TAKES OVER,DAVID GUETTA,DAVID GUETTA,9,2009,2,1,191000,129.984,4,1,11,-4.649,0.665,0.875
0c7Ku2JaVMyejkYLjwxucj,WARRIOR'S DANCE,PRODIGY,PRODIGY,9,2009,3,1,312960,137.015,4,0,5,-5.035,0.579,0.989
4uUz3SYA7xNKcuOvv7PCFO,I REMEMBER,DEADMAU5,DEADMAU5,9,2009,4,1,480067,129.993,4,0,11,-6.773,0.768,0.61
2iMtf3iN1CVgoNaWOEZ0ib,HEARTBREAK,FREEMASONS,FREEMASONS,9,2009,9,2,560960,124.999,4,1,2,-7.548,0.66,0.655
0xXfG13aA486OBoKij2LjD,PJANOO,ERIC PRYDZ,ERIC PRYDZ,9,2009,14,1,208627,130.011,4,0,3,-7.579,0.623,0.869
7A4hUAE33LMKn7r8Lsuyeg,AUDACITY OF HUGE,SIMIAN MOBILE DISCO,SIMIAN MOBILE DISCO,9,2009,15,2,227973,126.932,4,1,8,-8.001,0.771,0.679
1gT8JERBG91Ki20NcMeUHf,HEARTBREAKER,MSTRKRFT,MSTRKRFT,9,2009,16,4,192853,128.059,4,0,0,-4.834,0.547,0.876
2UewG8cjdnzq9cMF01dU4M,BASEMENT TRACK,HIGH CONTRAST,HIGH CONTRAST,9,2009,28,4,385239,173.033,4,0,11,-8.161,0.599,0.726
55eFVWZ4lLq8kbJ0VwSfA4,SHOW ME LOVE,ROBIN S,ROBIN S,9,2009,33,2,187640,129.951,4,1,5,-4.654,0.635,0.882
5HktkLHDbjA6LTyRTBEzHy,CELEBRATION,MADONNA,MADONNA,10,2009,1,1,215133,126.002,4,0,11,-4.139,0.637,0.891
5uozEFB0xzT0QsgrA9DLGr,READY FOR THE WEEKEND,CALVIN HARRIS,CALVIN HARRIS,10,2009,2,1,217987,137.959,4,0,9,-4.813,0.818,0.711
05Qs8OXk39VjbAYV0vwHzi,TAKE ME TO THE HOSPITAL,PRODIGY,PRODIGY,10,2009,3,1,220253,119.076,4,1,6,-3.2,0.35,0.975
77FULy278MulVvGWS8BfK7,WHEN LOVE TAKES OVER,DAVID GUETTA,DAVID GUETTA,10,2009,5,1,191000,129.984,4,1,11,-4.649,0.665,0.875
4uUz3SYA7xNKcuOvv7PCFO,I REMEMBER,DEADMAU5,DEADMAU5,10,2009,6,1,480067,129.993,4,0,11,-6.773,0.768,0.61
12YeqnoXUp3Kgo7gq9dfxx,WATCH THE SUN COME UP,EXAMPLE,EXAMPLE,10,2009,7,7,204923,114.99,4,1,2,-2.46,0.621,0.932
55eFVWZ4lLq8kbJ0VwSfA4,SHOW ME LOVE,STEVE ANGELLO,STEVE ANGELLO,10,2009,9,1,187640,129.951,4,1,5,-4.654,0.635,0.882
0c7Ku2JaVMyejkYLjwxucj,WARRIOR'S DANCE,PRODIGY,PRODIGY,10,2009,10,1,312960,137.015,4,0,5,-5.035,0.579,0.989
7A4hUAE33LMKn7r8Lsuyeg,AUDACITY OF HUGE,SIMIAN MOBILE DISCO,SIMIAN MOBILE DISCO,10,2009,11,2,227973,126.932,4,1,8,-8.001,0.771,0.679
1gT8JERBG91Ki20NcMeUHf,HEARTBREAKER,MSTRKRFT,MSTRKRFT,10,2009,12,4,192853,128.059,4,0,0,-4.834,0.547,0.876
3OXTBrKwW3f1N0hLDESsjN,DANCE,JUSTICE,JUSTICE,10,2009,15,1,205253,124.999,4,1,0,-8.605,0.694,0.724
2iMtf3iN1CVgoNaWOEZ0ib,HEARTBREAK,FREEMASONS,FREEMASONS,10,2009,17,2,560960,124.999,4,1,2,-7.548,0.66,0.655
7ldmPWVb7hQ8MXdMc2z1uL,RAINDROPS,BASEMENT JAXX,BASEMENT JAXX,10,2009,18,3,248074,125.921,4,1,8,-5.309,0.583,0.921
3yWWRx8BMEzzJ1sMviVcY2,LIKE THIS LIKE THAT,MAURO PICOTTO,MAURO PICOTTO,10,2009,27,2,327133,138.003,4,1,0,-9.219,0.608,0.913
1mEkvv5TaNNVsj5GEjVnKX,URBAN TRAIN,DJ TIESTO,DJ TIESTO,10,2009,28,3,450040,140,4,0,1,-9.491,0.667,0.832
2UewG8cjdnzq9cMF01dU4M,BASEMENT TRACK,HIGH CONTRAST,HIGH CONTRAST,10,2009,31,4,385239,173.033,4,0,11,-8.161,0.599,0.726
5HktkLHDbjA6LTyRTBEzHy,CELEBRATION,MADONNA,MADONNA,11,2009,2,1,215133,126.002,4,0,11,-4.139,0.637,0.891
5uozEFB0xzT0QsgrA9DLGr,READY FOR THE WEEKEND,CALVIN HARRIS,CALVIN HARRIS,11,2009,3,1,217987,137.959,4,0,9,-4.813,0.818,0.711
3ezkJgagRPZ39KCTrKcSI7,GHOSTS 'N' STUFF,DEADMAU5,DEADMAU5,11,2009,4,2,328747,127.979,4,1,8,-6.942,0.611,0.613
4uUz3SYA7xNKcuOvv7PCFO,I REMEMBER,DEADMAU5,DEADMAU5,11,2009,5,1,480067,129.993,4,0,11,-6.773,0.768,0.61
2cOCunrzyHVpTrTwSIKRbt,BLACK & BLUE,MIIKE SNOW,MIIKE SNOW,11,2009,6,2,219733,135.06,4,0,5,-3.889,0.668,0.781
2iMtf3iN1CVgoNaWOEZ0ib,HEARTBREAK,FREEMASONS,FREEMASONS,11,2009,12,2,560960,124.999,4,1,2,-7.548,0.66,0.655
05Qs8OXk39VjbAYV0vwHzi,TAKE ME TO THE HOSPITAL,PRODIGY,PRODIGY,11,2009,14,1,220253,119.076,4,1,6,-3.2,0.35,0.975
12YeqnoXUp3Kgo7gq9dfxx,WATCH THE SUN COME UP,EXAMPLE,EXAMPLE,11,2009,15,3,204923,114.99,4,1,2,-2.46,0.621,0.932
0G8TRsHY8Hgu5lD6DoJntJ,JANEIRO,SOLID SESSIONS,SOLID SESSIONS,11,2009,22,15,411653,134.924,3,1,6,-7.62,0.504,0.91
0XjVUZoZ08NT7omwzmjRi9,LIFT ME UP,MOBY,MOBY,11,2009,30,6,402857,143.017,4,0,11,-5.05,0.508,0.993
61RlktJeYy38pu1vY70pgU,DISCOPOLIS,LIFELIKE,LIFELIKE,11,2009,34,4,561307,119.986,4,0,1,-5.221,0.639,0.805
0hD5dbBQLYiMgpExdzwjaV,TOWARDS THE SUN,FUTURE FUNK SQUAD,FUTURE FUNK SQUAD,11,2009,39,16,496320,128.987,4,1,0,-7.398,0.618,0.575
0lERlMQubZSZwjQMxGddWu,END CREDITS,CHASE,CHASE,12,2009,2,2,198438,87.459,4,0,1,-4.758,0.243,0.813
